event_id,market,outcome_name,outcome_price,ts
1022949412,h2h,,,2025-08-29 23:19:18.763245+00
1024777705,h2h,,,2025-08-29 23:19:18.766781+00
1024110478,h2h,,,2025-08-29 23:19:18.770498+00
1024110487,h2h,,,2025-08-29 23:19:18.772781+00
1024714782,h2h,,,2025-08-29 23:19:18.775754+00
1022635843,h2h,,,2025-08-29 23:19:18.778433+00
1024221322,h2h,,,2025-08-29 23:19:18.781466+00
1024657821,h2h,,,2025-08-29 23:19:18.783992+00
1024794512,h2h,,,2025-08-29 23:19:18.786526+00
1024794857,h2h,,,2025-08-29 23:19:18.789001+00
1024794008,h2h,,,2025-08-29 23:19:18.791708+00
1024796224,h2h,,,2025-08-29 23:19:18.795228+00
1024801876,h2h,,,2025-08-29 23:19:18.798322+00
1024802819,h2h,,,2025-08-29 23:19:18.801721+00
1024790512,h2h,,,2025-08-29 23:19:18.804225+00
1024790664,h2h,,,2025-08-29 23:19:18.807511+00
1024798255,h2h,,,2025-08-29 23:19:18.810388+00
1024387424,h2h,,,2025-08-29 23:19:18.81317+00
1024387439,h2h,,,2025-08-29 23:19:18.815658+00
1023364183,h2h,,,2025-08-29 23:19:18.818222+00
1023418354,h2h,,,2025-08-29 23:19:18.820734+00
1024762750,h2h,,,2025-08-29 23:19:18.82484+00
1024794798,h2h,,,2025-08-29 23:19:18.832623+00
1024803221,h2h,,,2025-08-29 23:19:18.836646+00
1024806304,h2h,,,2025-08-29 23:19:18.839145+00
1024807560,h2h,,,2025-08-29 23:19:18.841971+00
1024803205,h2h,,,2025-08-29 23:19:18.845269+00
1024387796,h2h,,,2025-08-29 23:19:18.851249+00
1022037257,h2h,,,2025-08-29 23:19:18.854144+00
1022037245,h2h,,,2025-08-29 23:19:18.85684+00
1022037256,h2h,,,2025-08-29 23:19:18.860101+00
1022037241,h2h,,,2025-08-29 23:19:18.86291+00
1022037244,h2h,,,2025-08-29 23:19:18.865369+00
1022037238,h2h,,,2025-08-29 23:19:18.86815+00
1022037234,h2h,,,2025-08-29 23:19:18.870626+00
1022949412,h2h,,,2025-08-29 23:19:18.873033+00
1024777705,h2h,,,2025-08-29 23:19:18.875448+00
1024110478,h2h,,,2025-08-29 23:19:18.879084+00
1024110487,h2h,,,2025-08-29 23:19:18.882539+00
1024714782,h2h,,,2025-08-29 23:19:18.885489+00
1022635843,h2h,,,2025-08-29 23:19:18.894218+00
1024221322,h2h,,,2025-08-29 23:19:18.897035+00
1024657821,h2h,,,2025-08-29 23:19:18.899518+00
1024794512,h2h,,,2025-08-29 23:19:18.901983+00
1024794857,h2h,,,2025-08-29 23:19:18.904421+00
1024794008,h2h,,,2025-08-29 23:19:18.906933+00
1024796224,h2h,,,2025-08-29 23:19:18.909524+00
1024801876,h2h,,,2025-08-29 23:19:18.912197+00
1024802819,h2h,,,2025-08-29 23:19:18.914578+00
1024790512,h2h,,,2025-08-29 23:19:18.916986+00
1024790664,h2h,,,2025-08-29 23:19:18.919372+00
1024798255,h2h,,,2025-08-29 23:19:18.921734+00
1024387424,h2h,,,2025-08-29 23:19:18.924025+00
1024387439,h2h,,,2025-08-29 23:19:18.9263+00
1023364183,h2h,,,2025-08-29 23:19:18.929167+00
1023418354,h2h,,,2025-08-29 23:19:18.93195+00
1024762750,h2h,,,2025-08-29 23:19:18.935769+00
1024805319,h2h,,,2025-08-29 23:19:18.938968+00
1024794798,h2h,,,2025-08-29 23:19:18.945219+00
1024803221,h2h,,,2025-08-29 23:19:18.950247+00
1024806304,h2h,,,2025-08-29 23:19:18.95274+00
1024807560,h2h,,,2025-08-29 23:19:18.95539+00
1024803205,h2h,,,2025-08-29 23:19:18.958569+00
1024387796,h2h,,,2025-08-29 23:19:18.961662+00
1022037257,h2h,,,2025-08-29 23:19:18.964714+00
1022037245,h2h,,,2025-08-29 23:19:18.967377+00
1022037256,h2h,,,2025-08-29 23:19:18.969853+00
1022037241,h2h,,,2025-08-29 23:19:18.972917+00
1022037244,h2h,,,2025-08-29 23:19:18.9767+00
1022037238,h2h,,,2025-08-29 23:19:18.979651+00
1022037234,h2h,,,2025-08-29 23:19:18.982086+00
1022949412,h2h,,,2025-08-29 23:19:27.024675+00
1024777705,h2h,,,2025-08-29 23:19:27.028777+00
1024110478,h2h,,,2025-08-29 23:19:27.032227+00
1024110487,h2h,,,2025-08-29 23:19:27.03523+00
1024714782,h2h,,,2025-08-29 23:19:27.038156+00
1022635843,h2h,,,2025-08-29 23:19:27.040738+00
1024221322,h2h,,,2025-08-29 23:19:27.044462+00
1024657821,h2h,,,2025-08-29 23:19:27.047203+00
1024794512,h2h,,,2025-08-29 23:19:27.049713+00
1024794857,h2h,,,2025-08-29 23:19:27.052827+00
1024794008,h2h,,,2025-08-29 23:19:27.055402+00
1024796224,h2h,,,2025-08-29 23:19:27.058486+00
1024801876,h2h,,,2025-08-29 23:19:27.061446+00
1024802819,h2h,,,2025-08-29 23:19:27.064538+00
1024790512,h2h,,,2025-08-29 23:19:27.067206+00
1024790664,h2h,,,2025-08-29 23:19:27.070665+00
1024798255,h2h,,,2025-08-29 23:19:27.073549+00
1024387424,h2h,,,2025-08-29 23:19:27.075972+00
1024387439,h2h,,,2025-08-29 23:19:27.078299+00
1023364183,h2h,,,2025-08-29 23:19:27.081419+00
1023418354,h2h,,,2025-08-29 23:19:27.083806+00
1024762750,h2h,,,2025-08-29 23:19:27.088359+00
1024803223,h2h,,,2025-08-29 23:19:27.094388+00
1024794798,h2h,,,2025-08-29 23:19:27.097071+00
1024803221,h2h,,,2025-08-29 23:19:27.101479+00
1024806304,h2h,,,2025-08-29 23:19:27.104015+00
1024807560,h2h,,,2025-08-29 23:19:27.106213+00
1024803205,h2h,,,2025-08-29 23:19:27.108309+00
1024387796,h2h,,,2025-08-29 23:19:27.110503+00
1022037257,h2h,,,2025-08-29 23:19:27.113138+00
1022037245,h2h,,,2025-08-29 23:19:27.115732+00
1022037256,h2h,,,2025-08-29 23:19:27.118426+00
1022037241,h2h,,,2025-08-29 23:19:27.121259+00
1022037244,h2h,,,2025-08-29 23:19:27.123798+00
1022037238,h2h,,,2025-08-29 23:19:27.12598+00
1022037234,h2h,,,2025-08-29 23:19:27.128423+00
1022949412,h2h,,,2025-08-29 23:19:30.446522+00
1024777705,h2h,,,2025-08-29 23:19:30.453795+00
1024110478,h2h,,,2025-08-29 23:19:30.457213+00
1024110487,h2h,,,2025-08-29 23:19:30.460605+00
1024714782,h2h,,,2025-08-29 23:19:30.46365+00
1022635843,h2h,,,2025-08-29 23:19:30.466268+00
1024221322,h2h,,,2025-08-29 23:19:30.469127+00
1024657821,h2h,,,2025-08-29 23:19:30.472627+00
1024794512,h2h,,,2025-08-29 23:19:30.475221+00
1024794857,h2h,,,2025-08-29 23:19:30.477949+00
1024794008,h2h,,,2025-08-29 23:19:30.480468+00
1024796224,h2h,,,2025-08-29 23:19:30.483313+00
1024801876,h2h,,,2025-08-29 23:19:30.48585+00
1024802819,h2h,,,2025-08-29 23:19:30.48839+00
1024790512,h2h,,,2025-08-29 23:19:30.490862+00
1024790664,h2h,,,2025-08-29 23:19:30.493622+00
1024798255,h2h,,,2025-08-29 23:19:30.496035+00
1024387424,h2h,,,2025-08-29 23:19:30.498415+00
1024387439,h2h,,,2025-08-29 23:19:30.50107+00
1023364183,h2h,,,2025-08-29 23:19:30.503885+00
1023418354,h2h,,,2025-08-29 23:19:30.506727+00
1024762750,h2h,,,2025-08-29 23:19:30.511087+00
1024803223,h2h,,,2025-08-29 23:19:30.51684+00
1024794798,h2h,,,2025-08-29 23:19:30.519659+00
1024803221,h2h,,,2025-08-29 23:19:30.523527+00
1024806304,h2h,,,2025-08-29 23:19:30.526198+00
1024807560,h2h,,,2025-08-29 23:19:30.528736+00
1024803205,h2h,,,2025-08-29 23:19:30.531202+00
1024387796,h2h,,,2025-08-29 23:19:30.53358+00
1022037257,h2h,,,2025-08-29 23:19:30.535962+00
1022037245,h2h,,,2025-08-29 23:19:30.538899+00
1022037256,h2h,,,2025-08-29 23:19:30.541503+00
1022037241,h2h,,,2025-08-29 23:19:30.54385+00
1022037244,h2h,,,2025-08-29 23:19:30.546087+00
1022037238,h2h,,,2025-08-29 23:19:30.54833+00
1022037234,h2h,,,2025-08-29 23:19:30.55059+00
1022949412,h2h,,,2025-08-29 23:19:35.289307+00
1024777705,h2h,,,2025-08-29 23:19:35.294109+00
1024110478,h2h,,,2025-08-29 23:19:35.297058+00
